,gwl,wl,rain,stgH,stgT,gate1,gate2
2017-01-11 05:00:00+00:00,,-0.409,,,,,
2017-01-11 06:00:00+00:00,,-0.504,,,,,
2017-01-11 07:00:00+00:00,,-0.511,,,,,
2017-01-11 08:00:00+00:00,,-0.413,,,,,
2017-01-11 09:00:00+00:00,,-0.235,,,,,
2017-01-11 10:00:00+00:00,,-0.046,,,,,
2017-01-11 11:00:00+00:00,,0.124,,,,,
2017-01-11 12:00:00+00:00,,0.261,,,,,
2017-01-11 13:00:00+00:00,,0.329,,,,,
2017-01-11 14:00:00+00:00,,0.262,,,,,
2017-01-11 15:00:00+00:00,,0.064,,,,,
2017-01-11 16:00:00+00:00,,-0.129,,,,,
2017-01-11 17:00:00+00:00,,-0.283,,,,,
2017-01-11 18:00:00+00:00,,-0.405,,,,,
2017-01-11 19:00:00+00:00,,-0.45,,,,,
2017-01-11 20:00:00+00:00,,-0.396,,,,,
2017-01-11 21:00:00+00:00,,-0.258,,,,,
2017-01-11 22:00:00+00:00,,-0.083,,,,,
2017-01-11 23:00:00+00:00,,0.068,,,,,
2017-01-12 00:00:00+00:00,,0.211,,,,,
2017-01-12 01:00:00+00:00,,0.29,,,,,
2017-01-12 02:00:00+00:00,,0.24,,,,,
2017-01-12 03:00:00+00:00,,0.03,,,,,
2017-01-12 04:00:00+00:00,,-0.151,,,,,
2017-01-12 05:00:00+00:00,,-0.313,,,,,
2017-01-12 06:00:00+00:00,,-0.474,,,,,
2017-01-12 07:00:00+00:00,,-0.56,,,,,
2017-01-12 08:00:00+00:00,,-0.556,,,,,
2017-01-12 09:00:00+00:00,,-0.44,,,,,
2017-01-12 10:00:00+00:00,,-0.25,,,,,
2017-01-12 11:00:00+00:00,,-0.074,,,,,
2017-01-12 12:00:00+00:00,,0.097,,,,,
2017-01-12 13:00:00+00:00,,0.229,,,,,
2017-01-12 14:00:00+00:00,,0.272,,,,,
2017-01-12 15:00:00+00:00,,0.16,,,,,
2017-01-12 16:00:00+00:00,,-0.042,,,,,
2017-01-12 17:00:00+00:00,,-0.209,,,,,
2017-01-12 18:00:00+00:00,,-0.377,,,,,
2017-01-12 19:00:00+00:00,,-0.492,,,,,
2017-01-12 20:00:00+00:00,,-0.538,,,,,
2017-01-12 21:00:00+00:00,,-0.457,,,,,
2017-01-12 22:00:00+00:00,,-0.297,,,,,
2017-01-12 23:00:00+00:00,,-0.112,,,,,
2017-01-13 00:00:00+00:00,,0.049,,,,,
2017-01-13 01:00:00+00:00,,0.195,,,,,
2017-01-13 02:00:00+00:00,,0.264,,,,,
2017-01-13 03:00:00+00:00,,0.179,,,,,
2017-01-13 04:00:00+00:00,,-0.012,,,,,
2017-01-13 05:00:00+00:00,,-0.196,,,,,
2017-01-13 06:00:00+00:00,,-0.356,,,,,
2017-01-13 07:00:00+00:00,,-0.496,,,,,
2017-01-13 08:00:00+00:00,,-0.574,,,,,
2017-01-13 09:00:00+00:00,,-0.544,,,,,
2017-01-13 10:00:00+00:00,,-0.416,,,,,
2017-01-13 11:00:00+00:00,,-0.215,,,,,
2017-01-13 12:00:00+00:00,,-0.031,,,,,
2017-01-13 13:00:00+00:00,,0.141,,,,,
2017-01-13 14:00:00+00:00,,0.261,,,,,
2017-01-13 15:00:00+00:00,,0.283,,,,,
2017-01-13 16:00:00+00:00,,0.141,,,,,
2017-01-13 17:00:00+00:00,,-0.07,,,,,
2017-01-13 18:00:00+00:00,,-0.249,,,,,
2017-01-13 19:00:00+00:00,,-0.4,,,,,
2017-01-13 20:00:00+00:00,,-0.508,,,,,
2017-01-13 21:00:00+00:00,,-0.536,,,,,
2017-01-13 22:00:00+00:00,,-0.459,,,,,
2017-01-13 23:00:00+00:00,,-0.3,,,,,
2017-01-14 00:00:00+00:00,,-0.122,,,,,
2017-01-14 01:00:00+00:00,,0.031,,,,,
2017-01-14 02:00:00+00:00,,0.151,,,,,
2017-01-14 03:00:00+00:00,,0.188,,,,,
2017-01-14 04:00:00+00:00,,0.078,,,,,
2017-01-14 05:00:00+00:00,,-0.124,,,,,
2017-01-14 06:00:00+00:00,,-0.295,,,,,
2017-01-14 07:00:00+00:00,,-0.449,,,,,
2017-01-14 08:00:00+00:00,,-0.589,,,,,
2017-01-14 09:00:00+00:00,,-0.645,,,,,
2017-01-14 10:00:00+00:00,,-0.632,,,,,
2017-01-14 11:00:00+00:00,,-0.472,,,,,
2017-01-14 12:00:00+00:00,,-0.289,,,,,
2017-01-14 13:00:00+00:00,,-0.11,,,,,
2017-01-14 14:00:00+00:00,,0.063,,,,,
2017-01-14 15:00:00+00:00,,0.164,,,,,
2017-01-14 16:00:00+00:00,,0.169,,,,,
2017-01-14 17:00:00+00:00,,0.004,,,,,
2017-01-14 18:00:00+00:00,,-0.193,,,,,
2017-01-14 19:00:00+00:00,,-0.339,,,,,
2017-01-14 20:00:00+00:00,,-0.479,,,,,
2017-01-14 21:00:00+00:00,,-0.568,,,,,
2017-01-14 22:00:00+00:00,,-0.57,,,,,
2017-01-14 23:00:00+00:00,,-0.466,,,,,
2017-01-15 00:00:00+00:00,,-0.3,,,,,
2017-01-15 01:00:00+00:00,,-0.135,,,,,
2017-01-15 02:00:00+00:00,,0.023,,,,,
2017-01-15 03:00:00+00:00,,0.121,,,,,
2017-01-15 04:00:00+00:00,,0.153,,,,,
2017-01-15 05:00:00+00:00,,0.03,,,,,
2017-01-15 06:00:00+00:00,,-0.156,,,,,
2017-01-15 07:00:00+00:00,,-0.308,,,,,
2017-01-15 08:00:00+00:00,,-0.449,,,,,
2017-01-15 09:00:00+00:00,,-0.559,,,,,
2017-01-15 10:00:00+00:00,,-0.59,,,,,
2017-01-15 11:00:00+00:00,,-0.518,,,,,
2017-01-15 12:00:00+00:00,,-0.372,,,,,
2017-01-15 13:00:00+00:00,,-0.202,,,,,
2017-01-15 14:00:00+00:00,,-0.033,,,,,
2017-01-15 15:00:00+00:00,,0.116,,,,,
2017-01-15 16:00:00+00:00,,0.197,,,,,
2017-01-15 17:00:00+00:00,,0.131,,,,,
2017-01-15 18:00:00+00:00,,-0.05,,,,,
2017-01-15 19:00:00+00:00,,-0.224,,,,,
2017-01-15 20:00:00+00:00,,-0.362,,,,,
2017-01-15 21:00:00+00:00,,-0.474,,,,,
2017-01-15 22:00:00+00:00,,-0.539,,,,,
2017-01-15 23:00:00+00:00,,-0.528,,,,,
2017-01-16 00:00:00+00:00,,-0.426,,,,,
2017-01-16 01:00:00+00:00,,-0.268,,,,,
2017-01-16 02:00:00+00:00,,-0.124,,,,,
2017-01-16 03:00:00+00:00,,0.016,,,,,
2017-01-16 04:00:00+00:00,,0.115,,,,,
2017-01-16 05:00:00+00:00,,0.123,,,,,
2017-01-16 06:00:00+00:00,,-0.015,,,,,
2017-01-16 07:00:00+00:00,,-0.192,,,,,
2017-01-16 08:00:00+00:00,,-0.335,,,,,
2017-01-16 09:00:00+00:00,,-0.464,,,,,
2017-01-16 10:00:00+00:00,,-0.556,,,,,
2017-01-16 11:00:00+00:00,,-0.577,,,,,
2017-01-16 12:00:00+00:00,,-0.503,,,,,
2017-01-16 13:00:00+00:00,,-0.349,,,,,
2017-01-16 14:00:00+00:00,,-0.196,,,,,
2017-01-16 15:00:00+00:00,,-0.039,,,,,
2017-01-16 16:00:00+00:00,,0.072,,,,,
2017-01-16 17:00:00+00:00,,0.122,,,,,
2017-01-16 18:00:00+00:00,,0.03,,,,,
2017-01-16 19:00:00+00:00,,-0.143,,,,,
2017-01-16 20:00:00+00:00,,-0.294,,,,,
2017-01-16 21:00:00+00:00,,-0.422,,,,,
2017-01-16 22:00:00+00:00,,-0.532,,,,,
2017-01-16 23:00:00+00:00,,-0.589,,,,,
2017-01-17 00:00:00+00:00,,-0.564,,,,,
2017-01-17 01:00:00+00:00,,-0.462,,,,,
2017-01-17 02:00:00+00:00,,-0.311,,,,,
2017-01-17 03:00:00+00:00,,-0.179,,,,,
2017-01-17 04:00:00+00:00,,-0.055,,,,,
2017-01-17 05:00:00+00:00,,0.019,,,,,
2017-01-17 06:00:00+00:00,,0.008,,,,,
2017-01-17 07:00:00+00:00,,-0.123,,,,,
2017-01-17 08:00:00+00:00,,-0.271,,,,,
2017-01-17 09:00:00+00:00,,-0.394,,,,,
2017-01-17 10:00:00+00:00,,-0.506,,,,,
2017-01-17 11:00:00+00:00,,-0.575,,,,,
2017-01-17 12:00:00+00:00,,-0.582,,,,,
2017-01-17 13:00:00+00:00,,-0.505,,,,,
2017-01-17 14:00:00+00:00,,-0.345,,,,,
2017-01-17 15:00:00+00:00,,-0.211,,,,,
2017-01-17 16:00:00+00:00,,-0.08,,,,,
2017-01-17 17:00:00+00:00,,0.025,,,,,
2017-01-17 18:00:00+00:00,,0.033,,,,,
2017-01-17 19:00:00+00:00,,-0.068,,,,,
2017-01-17 20:00:00+00:00,,-0.223,,,,,
2017-01-17 21:00:00+00:00,,-0.34,,,,,
2017-01-17 22:00:00+00:00,,-0.453,,,,,
2017-01-17 23:00:00+00:00,,-0.54,,,,,
2017-01-18 00:00:00+00:00,,-0.585,,,,,
2017-01-18 01:00:00+00:00,,-0.548,,,,,
2017-01-18 02:00:00+00:00,,-0.441,,,,,
2017-01-18 03:00:00+00:00,,-0.301,,,,,
2017-01-18 04:00:00+00:00,,-0.187,,,,,
2017-01-18 05:00:00+00:00,,-0.092,,,,,
2017-01-18 06:00:00+00:00,,-0.035,,,,,
2017-01-18 07:00:00+00:00,,-0.075,,,,,
2017-01-18 08:00:00+00:00,,-0.213,,,,,
2017-01-18 09:00:00+00:00,,-0.333,,,,,
2017-01-18 10:00:00+00:00,,-0.439,,,,,
2017-01-18 11:00:00+00:00,,-0.529,,,,,
2017-01-18 12:00:00+00:00,,-0.589,,,,,
2017-01-18 13:00:00+00:00,,-0.581,,,,,
2017-01-18 14:00:00+00:00,,-0.499,,,,,
2017-01-18 15:00:00+00:00,,-0.375,,,,,
2017-01-18 16:00:00+00:00,,-0.246,,,,,
2017-01-18 17:00:00+00:00,,-0.161,,,,,
2017-01-18 18:00:00+00:00,,-0.087,,,,,
2017-01-18 19:00:00+00:00,,-0.08,,,,,
2017-01-18 20:00:00+00:00,,-0.199,,,,,
2017-01-18 21:00:00+00:00,,-0.332,,,,,
2017-01-18 22:00:00+00:00,,-0.423,,,,,
2017-01-18 23:00:00+00:00,,-0.519,,,,,
2017-01-19 00:00:00+00:00,,-0.586,,,,,
2017-01-19 01:00:00+00:00,,-0.605,,,,,
2017-01-19 02:00:00+00:00,,-0.563,,,,,
2017-01-19 03:00:00+00:00,,-0.447,,,,,
